
合約月份      行使價       *開市  *全日最高 *全日最低 正式收市價   成交量  | *開市  *全日最高 *全日最低     結算價     結算價變動 引申波幅%   成交量  | *合約最高  *合約最低    成交量   未平倉合約 未平倉合約變動
19 年 02 月  12600 認沽        0          0         0         0         0  |     0          0         0       1559            -67        0         0  |         0          0         0         0            0
19 年 02 月  12700 認沽        0          0         0         0         0  |     0          0         0       1659            -67        0         0  |         0          0         0         0            0
19 年 02 月  12800 認沽        0          0         0         0         0  |     0          0         0       1759            -67        0         0  |         0          0         0         0            0
19 年 02 月  12900 認沽        0          0         0         0         0  |     0          0         0       1859            -67        0         0  |         0          0         0         0            0
19 年 02 月  13000 認沽        0          0         0         0         0  |     0          0         0       1959            -67        0         0  |         0          0         0         0            0
19 年 02 月  13100 認沽        0          0         0         0         0  |     0          0         0       2059            -67        0         0  |         0          0         0         0            0
19 年 02 月  13200 認沽        0          0         0         0         0  |     0          0         0       2159            -67        0         0  |         0          0         0         0            0
19 年 02 月  13300 認沽        0          0         0         0         0  |     0          0         0       2259            -67        0         0  |         0          0         0         0            0
19 年 02 月  13400 認沽        0          0         0         0         0  |     0          0         0       2359            -67        0         0  |         0          0         0         0            0

                                             認沽總計                 285  |                                             認沽總計              11256  | 認沽總計                 11541     97854         +194

                                                                                                                                                      | 合約月份認沽/認購比率     1.18
                                                                                                                                                      | 合約月份總計             21277    191143        +3872

